USER_INPUT | CORRECTED_QUERY | SQL_QUERY | QUERY_TYPE | ACTION_TYPE | DISPLAY_ENTITIES | FILTER_ENTITIES
Show me contarct details and failed parts for 123456 | show me contract details and failed parts for 123456 | SELECT      CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME, PART_NUMBER, ERROR_COLUMN, REASON, LOADED_CP_NUMBER, PAYMENT_TERMS, INCOTERMS    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 123456 | FAILED_PARTS | parts_failed_by_contract_number | CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME, PART_NUMBER, ERROR_COLUMN, REASON, LOADED_CP_NUMBER, PAYMENT_TERMS, INCOTERMS | LOADED_CP_NUMBER = 123456
What's the effective date and part errors for 234567? | What's the effective date and part errors for 234567? | SELECT      EFFECTIVE_DATE    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 234567 | FAILED_PARTS | parts_failed_by_contract_number | EFFECTIVE_DATE | LOADED_CP_NUMBER = 234567
List all parts and customer info for contrat 345678 | list all parts and customer info for contract 345678 | SELECT      CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME, PAYMENT_TERMS, INCOTERMS    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 345678 | CONTRACTS | parts_by_contract_number | CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME, PAYMENT_TERMS, INCOTERMS | AWARD_NUMBER = 345678
Show contract info and failed part for 456789 | Show contract info and failed part for 456789 | SELECT      CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME, PART_NUMBER, ERROR_COLUMN, REASON, LOADED_CP_NUMBER, PAYMENT_TERMS, INCOTERMS    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 456789 | FAILED_PARTS | parts_failed_by_contract_number | CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME, PART_NUMBER, ERROR_COLUMN, REASON, LOADED_CP_NUMBER, PAYMENT_TERMS, INCOTERMS | LOADED_CP_NUMBER = 456789
Get customer name and parts errors for 567890 | Get customer name and parts errors for 567890 | SELECT      CUSTOMER_NAME, CONTRACT_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME, CUSTOMER_NUMBER, PART_NUMBER, ERROR_COLUMN, REASON    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 567890 | FAILED_PARTS | parts_failed_by_contract_number | CUSTOMER_NAME, CONTRACT_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME, CUSTOMER_NUMBER, PART_NUMBER, ERROR_COLUMN, REASON | LOADED_CP_NUMBER = 567890
Show contarct details and part issues for 678901 | show contract details and part issues for 678901 |  | FAILED_PARTS |  |  | 
What effective date and failed parts for 789012? | What effective date and failed parts for 789012? | SELECT      EFFECTIVE_DATE    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 789012 | FAILED_PARTS | parts_failed_by_contract_number | EFFECTIVE_DATE | LOADED_CP_NUMBER = 789012
List contract info and error parts for 890123 | List contract info and error parts for 890123 | SELECT      CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME, PART_NUMBER, ERROR_COLUMN, REASON, LOADED_CP_NUMBER, PAYMENT_TERMS, INCOTERMS    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 890123 | FAILED_PARTS | parts_failed_by_contract_number | CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME, PART_NUMBER, ERROR_COLUMN, REASON, LOADED_CP_NUMBER, PAYMENT_TERMS, INCOTERMS | LOADED_CP_NUMBER = 890123
tell me about contract 123456 | tell me about contract 123456 | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 123456 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 123456
i need info on 234567 | i need info on 234567 | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 234567 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 234567
can you show me 345678 | can you show me 345678 | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 345678 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 345678
what do you know about contarct 456789 | what do you know about contract 456789 | SELECT      CONTRACT_NAME    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 456789 | CONTRACTS | contracts_by_contractnumber | CONTRACT_NAME | AWARD_NUMBER = 456789
give me details for 567890 | give me details for 567890 | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 567890 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 567890
i want to see 678901 | i want to see 678901 | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 678901 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 678901
please show 789012 | please show 789012 | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 789012 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 789012
can i get info on 890123 | can i get info on 890123 | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 890123 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 890123
help me with contract 123456 | help me with contract 123456 | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 123456 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 123456
i need help with 234567 | i need help with 234567 | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 234567 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 234567
whats up with 123456? | whats up with 123456? | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS, CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 123456 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS, CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 123456
hows 234567 looking? | hows 234567 looking? | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 234567 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 234567
anything wrong with 345678? | anything wrong with 345678? | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS, CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 345678 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS, CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 345678
is 456789 ok? | is 456789 ok? | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 456789 | CONTRACTS | contracts_by_contractnumber | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 456789
problems with 567890? | problems with 567890? |  | FAILED_PARTS |  |  | 
issues with 678901? | issues with 678901? |  | FAILED_PARTS |  |  | 
troubles with 789012? | troubles with 789012? |  | FAILED_PARTS |  |  | 
concerns about 890123? | concerns about 890123? |  | FAILED_PARTS |  |  | 
status on 123456? | status on 123456? | SELECT      STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 123456 | CONTRACTS | contracts_by_contractnumber | STATUS | AWARD_NUMBER = 123456
update on 234567? | update on 234567? | SELECT      AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS, CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS    FROM CRM_CONTRACTS WHERE AWARD_NUMBER = 234567 | CONTRACTS | update_contract | AWARD_NUMBER, CUSTOMER_NAME, CUSTOMER_NUMBER, CREATED_DATE, EXPIRATION_DATE, STATUS, CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS | AWARD_NUMBER = 234567
